"no","number","id","context","sentence","intentionality","factivity","pictoriality","intentionality_z","factivity_z","pictoriality_z","sense","posterior_max"
1,1,"FP0","W_fict_prose","  think I might live. Her self-inventory wavered through lapis lazuli.' I'd imagine you've got one or two questions.' His irony invited her approval and",1.66666666666667,5,1,-2.11770918424946,0.841485177179189,-1.16384068799467,1,1
2,2,"KRX","S_speech_unscripted","  We used to go in that darn stuff all day long, and you can imagine the pickle we were in, all that sticky molasses. (SP:PS6FY) All sticking to",5.66666666666667,6,5,0.354372659435527,1.45082491650862,1.07905144350902,2,0.999999802638267
4,4,"G0C","W_commerce","  a thousand-bedroom hotel, three golf courses, several restaurants and full pony-trekking facilities. Imagine how many jobs would be provided per acre! In order to avoid unreasonable profiteering",6,2.66666666666667,2.66666666666667,0.560379479742608,-0.580307547922827,-0.229302299868134,2,0.999999938471823
5,5,"JSM","S_lect_polit_law_edu","  (pause) in r-- in response to a hypothetical question he said (reading) I can't imagine any set of circumstances that would ever induce me to send federal troops into any",6.66666666666667,1,3,0.972393120356772,-1.59587378013855,-0.0423946222428265,2,0.999999999174066
7,7,"CH8","W_biography","  sounds almost as if it will be too agonizing for them. I can't imagine people in this country putting themselves through that, no matter how much they love",5.66666666666667,2,3.33333333333333,0.354372659435527,-0.986534040809118,0.144513055382481,2,0.999998576873542
9,9,"H8X","W_fict_prose","  encourage her, Mr Swinton. She insists on looking after the hens herself. Imagine, with a cow --'' A rustic bonnet, perhaps,' he",6,6,6,0.560379479742608,1.45082491650862,1.63977447638494,2,0.999999997259174
10,10,"CAY","W_misc","  an uncontrollable build up of forward speed. # Fig. 4.5 Safe base. # Imagine that it's a pendulum # Something which may help here is to try visualising",6.66666666666667,2.66666666666667,6.33333333333333,0.972393120356772,-0.580307547922827,1.82668215401025,2,0.999999999965955
11,11,"B75","W_non_ac_nat_science","  repeating along a screw axis (ie, it is a helix). To imagine a straight structure which did not owe its straightness to this cause would require an",6.33333333333333,3,5.33333333333333,0.76638630004969,-0.377194301479682,1.26595912113433,2,0.999999998809197
12,12,"A67","W_misc","  the Americans. Our navigator, Fg Off Ruston was taken prisoner. You can imagine my surprise when looking around the Lancaster hangar at the display boards, I came",6,6,4,0.560379479742608,1.45082491650862,0.518328410633096,2,0.999999976797649
13,13,"ADA","W_fict_prose","  walked on together up the by now rapidly dusking street. It is possible to imagine that one of them was brightening with the low cunning of unscrupulous greed and that",5.66666666666667,3,3.66666666666667,0.354372659435527,-0.377194301479682,0.331420733007789,2,0.999998859794264
14,14,"AMD","W_misc","  3 course menu. Lift; 30 bedrooms; single available. # Leogang # Imagine a hidden picture postcard village set between two fantastic mountains ranges, and you have",7,6,7,1.17839994066385,1.45082491650862,2.20049750926087,2,0.999999999998655
16,16,"G0N","W_fict_prose","  what I told you. there's more at stake here than you can possibly imagine. MAURICE: That's eyewash and you know it. BEATRIX: I know",4.66666666666667,2,1,-0.263647801485719,-0.986534040809118,-1.16384068799467,2,0.92456205500078
17,17,"G1A","W_fict_prose","  (why two? why not a hundred.?), does the reader seriously imagine he is being' offered a choice' and that the work is reflecting life",2.66666666666667,2,1,-1.49968872332821,-0.986534040809118,-1.16384068799467,1,1
18,18,"H9X","W_biography","  , however modest, to the Italian' problem'. It was impossible to imagine a people --; I do not say a government -- with less relish for",6,1.66666666666667,2.33333333333333,0.560379479742608,-1.18964728725226,-0.416209977493442,2,0.999999939956311
19,20,"KP4","S_conv","  (SP:PS51S) Hon do you wan na paracetamol? (SP:PS6U1) Dan (SP:PS6P2) Yeah. (SP:PS6U1) (unclear) imagine that but just done in complete black with white lines, yeah, like sort",7,2,7,1.17839994066385,-0.986534040809118,2.20049750926087,2,0.999999999998118
21,22,"FPX","W_fict_prose","  look like a sandwich. She could only see the ceiling, but she could imagine the sight her bottom made: just overlapping the table, with her thighs spread",6.66666666666667,6,6.33333333333333,0.972393120356772,1.45082491650862,1.82668215401025,2,0.999999999979533
22,23,"G1X","W_fict_prose","  . The heart isn't heart-shaped, that's one of our problems. We imagine, don't we, some neat bivalve whose shape encodes the way in which",5.66666666666667,2.66666666666667,5.66666666666667,0.354372659435527,-0.580307547922827,1.45286679875963,2,0.999999737063609
23,24,"KD8","S_conv","  often the way isn't it? (SP:PS0LR) So (SP:PS0LK) Well I mean you could imagine them loving it! (SP:PS0LR) Yeah. (SP:PS0LK) You know, I mean I ca",5,3,2,-0.0576409811786373,-0.377194301479682,-0.60311765511875,2,0.998334613906405
24,25,"HA3","W_fict_prose","  matrix. I was very good at it when I was alive. I could imagine up to, oh, five hundred dragons at a time. Now Liessa,",6,1.33333333333333,6.33333333333333,0.560379479742608,-1.39276053369541,1.82668215401025,2,0.999999995408809
25,26,"CD6","W_pop_lore","  ' They give us names like paedophile, racist -- all the names you can imagine', it's as if they wonder what all the fuss is about.",6,5,1,0.560379479742608,0.841485177179189,-1.16384068799467,2,0.999999984471449
26,27,"G3B","W_biography","  ordinary Italian wanted was an end to the war, but it was difficult to imagine a world ruled by Nazis, Fascists and the Japanese. What did we know",6,1.66666666666667,3.33333333333333,0.560379479742608,-1.18964728725226,0.144513055382481,2,0.999999932232631
27,28,"KD0","S_conv","  you want (SP:PS0HP) What Mr (-----) leave at junction forty (unclear) (SP:PS0HM) Yeah I should imagine so (pause) but they wouldn't, but they could. (SP:PS0HP) Gosh, posh",1.66666666666667,2,1,-2.11770918424946,-0.986534040809118,-1.16384068799467,1,1
28,29,"H0E","W_misc","  be expected to insert discontinuities, because by definition they are unpredictable. He can imagine a variety of possible discontinuities, as I have done here, and he may",6,2.66666666666667,2,0.560379479742608,-0.580307547922827,-0.60311765511875,2,0.999999951633478
29,30,"G06","W_fict_prose","  be to devalue it. This seemed to me so true that I couldn't imagine why it was not universally acknowledged. Even in my limited experience I had seen",6,5,1,0.560379479742608,0.841485177179189,-1.16384068799467,2,0.999999984471449
30,31,"ABS","W_pop_lore","  publication anywhere in the world better suited to the twelve-year-old-boy mentality, I can't imagine what it is. But here is the intriguing part. I've done some",6,3,1.5,0.560379479742608,-0.377194301479682,-0.883479171556711,2,0.999999966326521
32,33,"A17","W_pop_lore","  in Germany, will be here then,' Dave said.' I'd imagine they'll be very happy to get the chance to see Des again.'",1.66666666666667,5.33333333333333,1,-2.11770918424946,1.04459842362233,-1.16384068799467,1,1
33,34,"HHA","W_fict_prose","  the mugs, overdid the sugar and had to start again. She could just imagine his look of derision, maybe even one of his put-downs. Get a grip",5.33333333333333,2.33333333333333,6.66666666666667,0.148365839128444,-0.783420794365972,2.01358983163556,2,0.999997056336578
34,35,"JXX","W_fict_prose","  ... what's going to happen to the children?'' As you can imagine, my mother has completely collapsed. However, my personal assistant has been in",5.33333333333333,6,2,0.148365839128444,1.45082491650862,-0.60311765511875,2,0.999989397018262
35,36,"CHA","W_pop_lore","  ' EP, The Lone Groover's codpiece, Tit Pics, Herbal High, Imagine if they gave a war and nobody came, SOD. Off, Smile if",6,1.33333333333333,4.33333333333333,0.560379479742608,-1.39276053369541,0.705236088258404,2,0.999999953348204
36,37,"CBM","W_newsp_other_report","  so it could go on for another 20 years. Can any of your readers imagine what it would be like to be thrown into a' concentration camp' for",6.33333333333333,1.33333333333333,5.33333333333333,0.76638630004969,-1.39276053369541,1.26595912113433,2,0.999999998684919
37,38,"CKT","W_pop_lore","  York:' This is the most difficult project for a museum that I can imagine. It is difficult and must remain that way because history has left us with",5.33333333333333,5,2.5,0.148365839128444,0.841485177179189,-0.322756138680788,2,0.99997980922367
38,39,"H7A","W_fict_prose","  to fat, like Cary Grant almost. If you closed your eyes you could imagine them together on the promenade, arm-in-arm like they should be, the doctor with",6.66666666666667,1.33333333333333,7,0.972393120356772,-1.39276053369541,2.20049750926087,2,0.999999999990899
39,40,"C9H","W_pop_lore","  flips straight to the cover interview with Slash. Crikey! It's hard to imagine a band further from the' are ya doin' awright?' approach than",5.33333333333333,2,3,0.148365839128444,-0.986534040809118,-0.0423946222428265,2,0.999946782857118
40,41,"CH1","W_newsp_tabloid","  five daughters and two granddaughters, so it is pretty exciting, as you can imagine, suddenly to have a boy.' I've been used to playing dolls",5.33333333333333,6.33333333333333,2,0.148365839128444,1.65393816295177,-0.60311765511875,2,0.999990812703991
41,42,"HBT","W_advert","  for mathematics. This does not necessarily mean a mathematics degree, as many people imagine. Degrees in subjects such as natural sciences, economics or statistics are just as",1.33333333333333,2.66666666666667,1,-2.32371600455654,-0.580307547922827,-1.16384068799467,1,1
42,43,"HGN","W_fict_prose","  . Who happens to be a young wife and mother of impeccable ultra-orthodox credentials. Imagine her delight when a lost soul returns, through her good offices, to the",5.66666666666667,5,3.33333333333333,0.354372659435527,0.841485177179189,0.144513055382481,2,0.999999279903873
43,46,"B06","W_misc","  and as such, can easily be controlled by thought. Close your eyes and imagine that you are centred within a sphere of white light which also permeates your body",7,1.33333333333333,7,1.17839994066385,-1.39276053369541,2.20049750926087,2,0.999999999998194
44,47,"KD0","S_conv","  ? (pause) If you see what I mean. (SP:PS0HP) Mm. (SP:PS0HM) I can actually imagine the feeling of going to a cot and then finding no (pause) no the child",6,1.66666666666667,4,0.560379479742608,-1.18964728725226,0.518328410633096,2,0.999999944799584
45,48,"GVL","W_fict_prose","  to his suite at the Monogram and was just opening my sample case when, imagine my surprise...' A telephone jangled. MacLane scooped the receiver up and grunted",6.33333333333333,6,2,0.76638630004969,1.45082491650862,-0.60311765511875,2,0.999999997058419
46,49,"JAE","S_interview","  look at it there's such a commitment by this company to (SP:PS444) I can imagine that. (SP:PS443) for the self-employed even the self-employed status (SP:PS444) Yes yes. (SP:PS443)",3.66666666666667,5,1,-0.881668262406965,0.841485177179189,-1.16384068799467,1,0.99999839151979
47,50,"ABJ","W_pop_lore","  convinced the market has its own fail-safe mechanisms for everything that it is hard to imagine them upholding a challenge to any merger. This is to miss the point.",5.66666666666667,2.33333333333333,1.5,0.354372659435527,-0.783420794365972,-0.883479171556711,2,0.999999345779421
