"no","id","context","sentence","intentionality","factivity","pictoriality","sense"
1,"FP0","W_fict_prose","  think I might live. Her self-inventory wavered through lapis lazuli.' I'd imagine you've got one or two questions.' His irony invited her approval and",-2.10628698881421,0.841942187806502,-1.1621154989102,"2-THINK/BELIVE"
2,"KRX","S_speech_unscripted","  We used to go in that darn stuff all day long, and you can imagine the pickle we were in, all that sticky molasses. (SP:PS6FY) All sticking to",0.356314219208602,1.45180108225928,1.07646614522456,"1-VIZUALIZE/PICTURE"
5,"JSM","S_lect_polit_law_edu","  (pause) in r-- in response to a hypothetical question he said (reading) I can't imagine any set of circumstances that would ever induce me to send federal troops into any",0.971964521214306,-1.59749339000463,-0.0428246768428166,"1-VIZUALIZE/PICTURE"
7,"CH8","W_biography","  sounds almost as if it will be too agonizing for them. I can't imagine people in this country putting themselves through that, no matter how much they love",0.356314219208602,-0.987634495551847,0.143723793501746,"1-VIZUALIZE/PICTURE"
10,"CAY","W_misc","  an uncontrollable build up of forward speed. # Fig. 4.5 Safe base. # Imagine that it's a pendulum # Something which may help here is to try visualising",0.971964521214306,-0.581061899249992,1.82266002660282,"1-VIZUALIZE/PICTURE"
11,"B75","W_non_ac_nat_science","  repeating along a screw axis (ie, it is a helix). To imagine a straight structure which did not owe its straightness to this cause would require an",0.766747753879071,-0.377775601099064,1.26301461556913,"1-VIZUALIZE/PICTURE"
12,"A67","W_misc","  the Americans. Our navigator, Fg Off Ruston was taken prisoner. You can imagine my surprise when looking around the Lancaster hangar at the display boards, I came",0.561530986543836,1.45180108225928,0.516820734190873,"1-VIZUALIZE/PICTURE"
13,"ADA","W_fict_prose","  walked on together up the by now rapidly dusking street. It is possible to imagine that one of them was brightening with the low cunning of unscrupulous greed and that",0.356314219208602,-0.377775601099064,0.33027226384631,"1-VIZUALIZE/PICTURE"
14,"AMD","W_misc","  3 course menu. Lift; 30 bedrooms; single available. # Leogang # Imagine a hidden picture postcard village set between two fantastic mountains ranges, and you have",1.17718128854954,1.45180108225928,2.19575696729194,"1-VIZUALIZE/PICTURE"
16,"G0N","W_fict_prose","  what I told you. there's more at stake here than you can possibly imagine. MAURICE: That's eyewash and you know it. BEATRIX: I know",-0.259336082797102,-0.987634495551847,-1.1621154989102,"3-SUPPOSE/ASSUME"
17,"G1A","W_fict_prose","  (why two? why not a hundred.?), does the reader seriously imagine he is being' offered a choice' and that the work is reflecting life",-1.49063668680851,-0.987634495551847,-1.1621154989102,"4-FALSE_PERCEPTION"
18,"H9X","W_biography","  , however modest, to the Italian' problem'. It was impossible to imagine a people --; I do not say a government -- with less relish for",0.561530986543836,-1.19092079370278,-0.415921617531943,"1-VIZUALIZE/PICTURE"
19,"KP4","S_conv","  (SP:PS51S) Hon do you wan na paracetamol? (SP:PS6U1) Dan (SP:PS6P2) Yeah. (SP:PS6U1) (unclear) imagine that but just done in complete black with white lines, yeah, like sort",1.17718128854954,-0.987634495551847,2.19575696729194,"1-VIZUALIZE/PICTURE"
21,"FPX","W_fict_prose","  look like a sandwich. She could only see the ceiling, but she could imagine the sight her bottom made: just overlapping the table, with her thighs spread",0.971964521214306,1.45180108225928,1.82266002660282,"1-VIZUALIZE/PICTURE"
22,"G1X","W_fict_prose","  . The heart isn't heart-shaped, that's one of our problems. We imagine, don't we, some neat bivalve whose shape encodes the way in which",0.356314219208602,-0.581061899249992,1.44956308591369,"4-FALSE_PERCEPTION"
23,"KD8","S_conv","  often the way isn't it? (SP:PS0LR) So (SP:PS0LK) Well I mean you could imagine them loving it! (SP:PS0LR) Yeah. (SP:PS0LK) You know, I mean I ca",-0.0541193154618676,-0.377775601099064,-0.602470087876506,"1-VIZUALIZE/PICTURE"
24,"HA3","W_fict_prose","  matrix. I was very good at it when I was alive. I could imagine up to, oh, five hundred dragons at a time. Now Liessa,",0.561530986543836,-1.3942070918537,1.82266002660282,"1-VIZUALIZE/PICTURE"
25,"CD6","W_pop_lore","  ' They give us names like paedophile, racist -- all the names you can imagine', it's as if they wonder what all the fuss is about.",0.561530986543836,0.841942187806502,-1.1621154989102,"1-VIZUALIZE/PICTURE"
26,"G3B","W_biography","  ordinary Italian wanted was an end to the war, but it was difficult to imagine a world ruled by Nazis, Fascists and the Japanese. What did we know",0.561530986543836,-1.19092079370278,0.143723793501746,"1-VIZUALIZE/PICTURE"
27,"KD0","S_conv","  you want (SP:PS0HP) What Mr (-----) leave at junction forty (unclear) (SP:PS0HM) Yeah I should imagine so (pause) but they wouldn't, but they could. (SP:PS0HP) Gosh, posh",-2.10628698881421,-0.987634495551847,-1.1621154989102,"2-THINK/BELIVE"
28,"H0E","W_misc","  be expected to insert discontinuities, because by definition they are unpredictable. He can imagine a variety of possible discontinuities, as I have done here, and he may",0.561530986543836,-0.581061899249992,-0.602470087876506,"1-VIZUALIZE/PICTURE"
29,"G06","W_fict_prose","  be to devalue it. This seemed to me so true that I couldn't imagine why it was not universally acknowledged. Even in my limited experience I had seen",0.561530986543836,0.841942187806502,-1.1621154989102,"3-SUPPOSE/ASSUME"
30,"ABS","W_pop_lore","  publication anywhere in the world better suited to the twelve-year-old-boy mentality, I can't imagine what it is. But here is the intriguing part. I've done some",0.561530986543836,-0.377775601099064,-0.882292793393351,"3-SUPPOSE/ASSUME"
32,"A17","W_pop_lore","  in Germany, will be here then,' Dave said.' I'd imagine they'll be very happy to get the chance to see Des again.'",-2.10628698881421,1.04522848595743,-1.1621154989102,"2-THINK/BELIVE"
33,"HHA","W_fict_prose","  the mugs, overdid the sugar and had to start again. She could just imagine his look of derision, maybe even one of his put-downs. Get a grip",0.151097451873367,-0.78434819740092,2.00920849694738,"1-VIZUALIZE/PICTURE"
34,"JXX","W_fict_prose","  ... what's going to happen to the children?'' As you can imagine, my mother has completely collapsed. However, my personal assistant has been in",0.151097451873367,1.45180108225928,-0.602470087876506,"2-THINK/BELIVE"
35,"CHA","W_pop_lore","  ' EP, The Lone Groover's codpiece, Tit Pics, Herbal High, Imagine if they gave a war and nobody came, SOD. Off, Smile if",0.561530986543836,-1.3942070918537,0.703369204535436,"1-VIZUALIZE/PICTURE"
36,"CBM","W_newsp_other_report","  so it could go on for another 20 years. Can any of your readers imagine what it would be like to be thrown into a' concentration camp' for",0.766747753879071,-1.3942070918537,1.26301461556913,"1-VIZUALIZE/PICTURE"
37,"CKT","W_pop_lore","  York:' This is the most difficult project for a museum that I can imagine. It is difficult and must remain that way because history has left us with",0.151097451873367,0.841942187806502,-0.322647382359662,"1-VIZUALIZE/PICTURE"
38,"H7A","W_fict_prose","  to fat, like Cary Grant almost. If you closed your eyes you could imagine them together on the promenade, arm-in-arm like they should be, the doctor with",0.971964521214306,-1.3942070918537,2.19575696729194,"1-VIZUALIZE/PICTURE"
39,"C9H","W_pop_lore","  flips straight to the cover interview with Slash. Crikey! It's hard to imagine a band further from the' are ya doin' awright?' approach than",0.151097451873367,-0.987634495551847,-0.0428246768428166,"1-VIZUALIZE/PICTURE"
40,"CH1","W_newsp_tabloid","  five daughters and two granddaughters, so it is pretty exciting, as you can imagine, suddenly to have a boy.' I've been used to playing dolls",0.151097451873367,1.65508738041021,-0.602470087876506,"2-THINK/BELIVE"
41,"HBT","W_advert","  for mathematics. This does not necessarily mean a mathematics degree, as many people imagine. Degrees in subjects such as natural sciences, economics or statistics are just as",-2.31150375614945,-0.581061899249992,-1.1621154989102,"4-FALSE_PERCEPTION"
42,"HGN","W_fict_prose","  . Who happens to be a young wife and mother of impeccable ultra-orthodox credentials. Imagine her delight when a lost soul returns, through her good offices, to the",0.356314219208602,0.841942187806502,0.143723793501746,"1-VIZUALIZE/PICTURE"
43,"B06","W_misc","  and as such, can easily be controlled by thought. Close your eyes and imagine that you are centred within a sphere of white light which also permeates your body",1.17718128854954,-1.3942070918537,2.19575696729194,"1-VIZUALIZE/PICTURE"
